ticker,time,timestamp,price,open,high,low,close,volume,vwap,Nasdaq_price,Nasdaq_volume
AAPL,2017-09-26T08:45:00,1506429900,151.925,151.85,152.0,151.85,151.93,17831,151.97082,143.44,30668
AAPL,2017-09-26T08:40:00,1506429600,151.875,151.95,151.95,151.8,151.85,14489,151.91828,143.35500000000002,10840
AAPL,2017-09-26T08:35:00,1506429300,151.89999999999998,151.9,151.95,151.85,151.87,8427,151.89991,143.3,3973
AAPL,2017-09-26T08:30:00,1506429000,151.84,151.83,151.85,151.83,151.85,3695,151.84275,143.28,9379
AAPL,2017-09-26T08:25:00,1506428700,151.81,151.95,151.95,151.67,151.71,22482,151.75891,143.225,18989
AAPL,2017-09-26T08:20:00,1506428400,151.82999999999998,151.83,151.9,151.76,151.9,14368,151.85412,143.22,36200
AAPL,2017-09-26T08:15:00,1506428100,151.815,151.81,151.83,151.8,151.83,10054,151.8096,143.24,8780
AAPL,2017-09-26T08:10:00,1506427800,151.92000000000002,151.91,151.99,151.85,151.95,24177,151.93317,143.23000000000002,3900
AAPL,2017-09-26T08:05:00,1506427500,151.85500000000002,151.81,151.9,151.81,151.9,12925,151.87039,143.22,3898
AAPL,2017-09-26T08:00:00,1506427200,151.765,151.79,151.83,151.7,151.77,7680,151.74977,143.2,5448
AAPL,2017-09-26T07:55:00,1506426900,151.685,151.77,151.77,151.6,151.69,14608,151.65651,143.18,5525
AAPL,2017-09-26T07:50:00,1506426600,151.875,151.78,152.0,151.75,151.77,19335,151.78605,143.20499999999998,1030
AAPL,2017-09-26T07:45:00,1506426300,151.81,151.85,151.85,151.77,151.77,14701,151.78677,143.265,25530
AAPL,2017-09-26T07:40:00,1506426000,151.885,151.8,152.0,151.77,151.85,22923,151.89609,143.25,1130
AAPL,2017-09-26T07:35:00,1506425700,151.77,151.75,151.8,151.74,151.8,1600,151.75563,143.255,4100
AAPL,2017-09-26T07:30:00,1506425400,151.82,151.71,151.93,151.71,151.93,15302,151.8005,143.26,19978
AAPL,2017-09-26T07:25:00,1506425100,151.69,151.65,151.73,151.65,151.71,7381,151.67438,143.235,20520
AAPL,2017-09-26T07:20:00,1506424800,151.685,151.7,151.79,151.58,151.75,5070,151.69424,143.20499999999998,38496
AAPL,2017-09-26T07:15:00,1506424500,151.64,151.68,151.7,151.58,151.6,3061,151.68882,143.165,40796
AAPL,2017-09-26T07:10:00,1506424200,151.52499999999998,151.45,151.6,151.45,151.6,5671,151.52505,143.13,11168
AAPL,2017-09-26T07:05:00,1506423900,151.45,151.4,151.55,151.35,151.4,9295,151.46923,143.085,700
AAPL,2017-09-26T07:00:00,1506423600,151.43,151.52,151.55,151.31,151.32,7488,151.4182,143.10500000000002,3398
AAPL,2017-09-26T06:55:00,1506423300,151.54000000000002,151.58,151.58,151.5,151.5,4268,151.52101,143.135,7900
AAPL,2017-09-26T06:50:00,1506423000,151.55,151.58,151.58,151.52,151.55,1200,151.5452,143.12,398
AAPL,2017-09-26T06:45:00,1506422700,151.535,151.51,151.57,151.5,151.55,2800,151.51357,,
AAPL,2017-09-26T06:40:00,1506422400,151.525,151.55,151.55,151.5,151.5,4960,151.50262,143.16,400
AAPL,2017-09-26T06:35:00,1506422100,151.505,151.49,151.52,151.49,151.52,2295,151.4942,,
AAPL,2017-09-26T06:30:00,1506421800,151.39,151.39,151.39,151.39,151.39,200,151.39,,
AAPL,2017-09-26T06:25:00,1506421500,151.39,151.39,151.39,151.39,151.39,1027,151.39,,
AAPL,2017-09-26T06:20:00,1506421200,151.36,151.33,151.39,151.33,151.39,1660,151.37916,,
AAPL,2017-09-26T06:15:00,1506420900,151.315,151.3,151.33,151.3,151.33,500,151.324,143.21,500
AAPL,2017-09-26T06:10:00,1506420600,151.27,151.27,151.27,151.27,151.27,100,151.27,143.2,6000
AAPL,2017-09-26T06:00:00,1506420000,151.41,151.44,151.44,151.38,151.38,600,151.39,,
AAPL,2017-09-26T05:55:00,1506419700,151.45,151.45,151.45,151.45,151.45,1400,151.45,,
AAPL,2017-09-26T05:50:00,1506419400,151.505,151.47,151.54,151.47,151.54,600,151.52833,,
AAPL,2017-09-26T05:45:00,1506419100,151.41500000000002,151.33,151.5,151.33,151.4,6607,151.46981,143.10500000000002,400
AAPL,2017-09-26T05:30:00,1506418200,151.35,151.35,151.35,151.35,151.35,100,151.35,,
AAPL,2017-09-26T05:20:00,1506417600,151.29,151.23,151.35,151.23,151.35,4765,151.24791,143.065,4100
AAPL,2017-09-26T05:15:00,1506417300,151.21,151.21,151.21,151.21,151.21,100,151.21,,
AAPL,2017-09-26T05:10:00,1506417000,151.1,151.1,151.1,151.1,151.1,450,151.1,,
AAPL,2017-09-26T05:05:00,1506416700,151.18,151.18,151.18,151.18,151.18,200,151.18,,
AAPL,2017-09-26T04:55:00,1506416100,151.185,151.17,151.2,151.17,151.17,1784,151.17982,143.01,500
AAPL,2017-09-26T04:45:00,1506415500,150.98,150.98,150.98,150.98,150.98,200,150.98,,
